2018-06-27 11:40:02 WARN  ClassPathXmlApplicationContext:546 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'calculator' defined in file [/Users/jayfman/Google Drive/Revature/Assignments/batch-source/SpringCalc/target/classes/com/revature/beans/Calculator.class]: Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: error at ::0 formal unbound in pointcut 
2018-06-27 11:40:27 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:40:27 EDT 2018]; root of context hierarchy
2018-06-27 11:40:27 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:40:27 INFO  root:28 - Calculator.add(..)
2018-06-27 11:40:27 INFO  root:50 - 5.0 + 3.6 = 8.6
2018-06-27 11:40:27 INFO  root:28 - Calculator.subtract(..)
2018-06-27 11:40:27 INFO  root:50 - 3.0 - 8.0 = -5.0
2018-06-27 11:40:27 INFO  root:28 - Calculator.multiply(..)
2018-06-27 11:40:27 INFO  root:50 - 4.0 * 8.0 = 32.0
2018-06-27 11:41:02 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:41:02 EDT 2018]; root of context hierarchy
2018-06-27 11:41:03 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:41:03 WARN  ClassPathXmlApplicationContext:546 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'calculator' defined in file [/Users/jayfman/Google Drive/Revature/Assignments/batch-source/SpringCalc/target/classes/com/revature/beans/Calculator.class]: Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: error at ::0 formal unbound in pointcut 
2018-06-27 11:41:08 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:41:08 EDT 2018]; root of context hierarchy
2018-06-27 11:41:08 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:41:08 INFO  root:28 - Calculator.add(..)
2018-06-27 11:41:08 INFO  root:50 - 5.0 + 3.6 = 8.6
2018-06-27 11:41:08 INFO  root:28 - Calculator.subtract(..)
2018-06-27 11:41:08 INFO  root:50 - 3.0 - 8.0 = -5.0
2018-06-27 11:41:08 INFO  root:28 - Calculator.multiply(..)
2018-06-27 11:41:08 INFO  root:50 - 4.0 * 8.0 = 32.0
2018-06-27 11:43:32 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:43:32 EDT 2018]; root of context hierarchy
2018-06-27 11:43:32 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:43:32 WARN  ClassPathXmlApplicationContext:546 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'calculator' defined in file [/Users/jayfman/Google Drive/Revature/Assignments/batch-source/SpringCalc/target/classes/com/revature/beans/Calculator.class]: Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: error at ::0 can't find referenced pointcut divide
2018-06-27 11:45:34 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:45:34 EDT 2018]; root of context hierarchy
2018-06-27 11:45:34 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:45:35 INFO  root:28 - Calculator.add(..)
2018-06-27 11:45:35 INFO  root:50 - 5.0 + 3.6 = 8.6
2018-06-27 11:45:35 INFO  root:28 - Calculator.subtract(..)
2018-06-27 11:45:35 INFO  root:50 - 3.0 - 8.0 = -5.0
2018-06-27 11:45:35 INFO  root:28 - Calculator.multiply(..)
2018-06-27 11:45:35 INFO  root:50 - 4.0 * 8.0 = 32.0
2018-06-27 11:46:07 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:46:07 EDT 2018]; root of context hierarchy
2018-06-27 11:46:07 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:46:08 WARN  ClassPathXmlApplicationContext:546 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'calculator' defined in file [/Users/jayfman/Google Drive/Revature/Assignments/batch-source/SpringCalc/target/classes/com/revature/beans/Calculator.class]: Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: error at ::0 formal unbound in pointcut 
